user_name,nickname,favs,rts,favs_rts,tweet_content,hour,date_yyyy_mm_dd,date_dd_mm_yyyy,time_code_utc
HIP HOP FACTS,DailyRapFacts,5553,5330,10883,VIEWS IS NOW ON APPLE MUSIC https://t.co/5W5IVZ1DL7,03:06:08,2016-04-29,2016-04-29,2016-04-29T03:06:08Z
9GAG Tweets,9GAGTweets,1853,3002,4855,Better than Apple watch https://t.co/SjxG2SFlpo,14:04:25,2016-04-28,2016-04-28,2016-04-28T14:04:25Z
YG Family,ygent_official,2362,1775,4137,"[KU HYE SUN - '그리고 봄 (Dark Yellow)']
Available now on iTunes @ https://t.co/RzBG6RJ94m
#KUHYESUN #구혜선 #그리고봄 https://t.co/K6I7kqpsw1",09:39:10,2016-04-28,2016-04-28,2016-04-28T09:39:10Z
Jon Gruden,Faux_Gruden,1821,1680,3501,"Eli Apple is headed to the Big Apple, man. Wow. I can't even wrap my head around that. What a time to be alive.",01:24:10,2016-04-29,2016-04-29,2016-04-29T01:24:10Z
NFL on ESPN,ESPNNFL,1525,1245,2770,"Bosa at #3.
Zeke at #4.
Apple at #10.
Decker #16.
Lee at #20.

It's a Buckeye Party. https://t.co/oZY8AnLXWM",02:44:57,2016-04-29,2016-04-29,2016-04-29T02:44:57Z
Pierce The Veil,piercetheveil,1572,562,2134,"Pre-order our album #misadventures and get #Circles instantly on @applemusic at https://t.co/lx3NwA65Yu! https://t.co/u22X9wjcYf",18:00:45,2016-04-28,2016-04-28,2016-04-28T18:00:45Z
NFL on ESPN,ESPNNFL,598,452,1050,"Gruden: ""I like this pick, Mel.""

Mel: ""I liked Vernon Hargreaves better than Eli Apple at #10.""

#TBpick https://t.co/gmakGyjkU8",01:33:46,2016-04-29,2016-04-29,2016-04-29T01:33:46Z
Sam Pottorff,sampottorff,1626,410,2036,EVERYONE GO LISTEN TO THE BIRTHDAY BOYS NEW ALBUM @callmekarizma HE KILLED IT I LOVE YOU DAD!!! https://t.co/O6COGzYxzY,20:04:10,2016-04-28,2016-04-28,2016-04-28T20:04:10Z
Bill Simmons,BillSimmons,1508,400,1908,"Why does iPhone spell-check keep changing ""bong pipe"" to ""bong pope?"" Come on Apple get your shit together.",01:01:03,2016-04-29,2016-04-29,2016-04-29T01:01:03Z
Biel,Biel,911,371,1282,"Juntos Vamos Além by Biel
https://t.co/aGRmsgHLun #CompreJVANoiTunes",23:27:40,2016-04-28,2016-04-28,2016-04-28T23:27:40Z
『坂本ですが？』アニメ公式,sakamoto_anime,452,355,807,"【ゲーム情報②】このアプリは坂本君（CV緑川光さん）のボイス入り！名シーンを再現した放置型ゲームで、反復横跳びでの消火活動やMr.Bee(蜂)との対決など盛りだくさん！　＃坂本ですが？
https://t.co/jzd105REWL https://t.co/Am4PeJbOAu",03:15:46,2016-04-29,2016-04-29,2016-04-29T03:15:46Z
Spinoza,spinozait,365,315,680,"Trovato cadavere nella sede di Apple. Ora tutti ne vorranno uno.
[@pantana21]",10:05:35,2016-04-28,2016-04-28,2016-04-28T10:05:35Z
Miranda Sings,MirandaSings,1834,311,2145,"IM SO EXITED! My #MirandaSingsVsHaters game is UPDATED! ITS SO GOD. Download NOW iOS &amp; Android! https://t.co/iToYlV9E8W",16:26:43,2016-04-28,2016-04-28,2016-04-28T16:26:43Z
ESPN,espn,669,307,976,"Recapping picks 6-10:
BAL: Ronnie Stanley
SF: DeForest Buckner
TEN: Jack Conklin
CHI: Leonard Floyd
NYG: Eli Apple https://t.co/WpnpWHvP14",01:33:56,2016-04-29,2016-04-29,2016-04-29T01:33:56Z
Colleen Evans,ColleenB123,1897,290,2187,"You guys asked for it! we finally have NEW LEVELS on  #MirandaSingsvHaters! Download it &amp; send me pics of u playing! https://t.co/zp5iLrm1nj",16:29:53,2016-04-28,2016-04-28,2016-04-28T16:29:53Z
Joey Devries,JosephDevries,412,278,690,I wanna give you guys a free single so come on! And download these versions!!! Only 59P! https://t.co/GafRc6QUAo and https://t.co/K7qJiASwTG,17:51:19,2016-04-28,2016-04-28,2016-04-28T17:51:19Z
NBC Sports,NBCSports,297,267,564,".@OhioStAthletics is first ever with 3 top-10 picks: Joey Bosa, Ezekiel Elliott, Eli Apple. https://t.co/WS2vuz4zdv https://t.co/njTpD8HRzi",01:47:26,2016-04-29,2016-04-29,2016-04-29T01:47:26Z
Imágenes Históricas,HistoriaEnFotos,391,261,652,"Hoy, hace 13 años, Apple abre la tienda de música “iTunes Store”. En su primera semana vendió 1 millón de canciones https://t.co/Ss70Xpoe6c",18:20:34,2016-04-28,2016-04-28,2016-04-28T18:20:34Z
Word On Road,WordOnRd,254,252,506,[Purchase] Views by Drake https://t.co/II2lNthChL,03:15:44,2016-04-29,2016-04-29,2016-04-29T03:15:44Z
Beats By Dre,beatsbydre,315,242,557,"#VIEWS. 
#OVOSOUNDRADIO. 
Stay locked. @Drake @Beats1 https://t.co/DOXpIFLJhP https://t.co/gfgaPPI9MG",02:45:01,2016-04-29,2016-04-29,2016-04-29T02:45:01Z
Word On Road,WordOnRd,292,241,533,It will be available on iTunes and Apple Music at midnight  https://t.co/W0AcI4PEgD,01:42:50,2016-04-29,2016-04-29,2016-04-29T01:42:50Z
CNN,CNN,68,240,308,"The 2016 election, by the numbers and on the go: The CNN Politics app https://t.co/MjjKSEEprb https://t.co/pYUfupYACv",14:30:01,2016-04-28,2016-04-28,2016-04-28T14:30:01Z
Star Wars Games,StarWarsGames,805,223,1028,"Get up to 50% off on select Star Wars games in the @AppStore through May 4th! #StarWarsDay https://t.co/PYxAYtCHqH https://t.co/Wn3hT2Sm7U",23:42:31,2016-04-28,2016-04-28,2016-04-28T23:42:31Z
Butler Dining,butler_dining,269,213,482,"Day 4 and we're not slowing down! Win this Apple TV!! Like/RT this photo, follow our page. Easy! Winner at 3pm! https://t.co/b1J7JM1THT",12:54:51,2016-04-28,2016-04-28,2016-04-28T12:54:51Z
SKEPTA,Skepta,365,210,575,"My new album #Konnichiwa May 6th.

Pre-order https://t.co/HXCxmQYQHN",23:52:31,2016-04-28,2016-04-28,2016-04-28T23:52:31Z
Aykut Ünal,ayk747,194,207,401,Niconé &amp; Sascha Braemer - Never (feat. Wrongkong) parçasını @AppleMusic’te dinleyin. https://t.co/REm5bqQjV6,21:45:43,2016-04-28,2016-04-28,2016-04-28T21:45:43Z
New York Giants,Giants,318,182,500,"""Eli Apple is a combative, physical corner with good ball skills."" - Coach McAdoo",01:38:37,2016-04-29,2016-04-29,2016-04-29T01:38:37Z
Music News & Facts,musicnews_facts,192,178,370,"#VIEWS is out now on iTunes! https://t.co/U9axEhcKDQ",03:05:43,2016-04-29,2016-04-29,2016-04-29T03:05:43Z
The Mountain Goats,mountain_goats,620,177,797,"""Sir, Apple Care does not cover us cleaning bits of pumpkin seeds out of your keyboard every 6 weeks"" ""I'll see you fascists in court, then""",14:42:13,2016-04-28,2016-04-28,2016-04-28T14:42:13Z
نايف الهاجري,Magruff_LE,6,173,179,"""تطبيق رائع""
قام بتصميمه مجموعة من محبين
الشيخ #محمد_بن_زايد
حفظه الله🇦🇪🇦🇪
على هذا الرابط 
https://t.co/sTOcGaiU71 https://t.co/k5IRqSHa8I",17:47:48,2016-04-28,2016-04-28,2016-04-28T17:47:48Z
MIYAVI,MIYAVI_OFFICIAL,470,173,643,"🙏🏻🙏🏻😁 RT @MIYAVI_STAFF ニューシングル1位ありがとうございます！
Thank you for making MIYAVI's new EP no.1!!
https://t.co/KuBFLVpNnL https://t.co/usIp6x7R3P",16:12:16,2016-04-28,2016-04-28,2016-04-28T16:12:16Z
New York Giants,Giants,289,172,461,.@EliApple13 coming to the Big Apple! 🏈🍎 https://t.co/Rum29P98Ky,02:16:57,2016-04-29,2016-04-29,2016-04-29T02:16:57Z
Respek Ma Name,NikoWavy,52,171,223,This Eli Apple getting ran over by Derrick Henry salute @Giants  😂😂😂 https://t.co/wZx7iKEnEf,02:16:16,2016-04-29,2016-04-29,2016-04-29T02:16:16Z
The Brooks,ThisIsTheBrooks,366,170,536,"Who's preorder @JosephDevries singles? GET IT NOW https://t.co/dtasdk6D34 #welshlove",19:49:01,2016-04-28,2016-04-28,2016-04-28T19:49:01Z
Guardia Civil,guardiacivil,100,150,250,"¿Un mail que simula ser #Apple te eligió para un premiazo si rellenas una encuesta?
Tú verás...#spam ganarás seguro https://t.co/KfG6N9AFLK",16:30:57,2016-04-28,2016-04-28,2016-04-28T16:30:57Z
HiddenCash St. Louis,hiddencash314,54,143,197,"#applewatch RT &amp; FOLLOW .@hiddencash314 #apple https://t.co/S7hHHQCqg1",14:29:41,2016-04-28,2016-04-28,2016-04-28T14:29:41Z
Emily Kaplan,emilymkaplan,175,142,317,"According to his mom, Eli Apple almost missed NYG call. ""Who is calling you from a 201 area code? Don't pick that up! You're at the draft!""",01:48:19,2016-04-29,2016-04-29,2016-04-29T01:48:19Z
Jeff Howe,jeffphowe,63,124,187,Giants take Eli Apple at No. 10.,01:19:03,2016-04-29,2016-04-29,2016-04-29T01:19:03Z
وليد صالح الصالح,waleed800,72,120,192,"📌جديد
اليوم تم الانتهاء لتطبيق كبارالعلماء

🔴للايفون
https://t.co/t2knBuxAhI

🔴جلكسي اندرويد
https://t.co/YduadPnQmx https://t.co/TLzWNY05d3",14:21:07,2016-04-28,2016-04-28,2016-04-28T14:21:07Z
